Participant_Number,Condition,Core_ID,Day,Core working order during session,Beginning_Max_Length_(cm),Beginning_Max_Width_(cm),Beginning_Max_Thickness_(cm),Beginning_Mass_(g),Ending_Mass_(g),Reduction_Intensity_%,Number_of_Detached_Pieces_Total,Utility_of_Detached_Pieces_Average,Utility_of_Detached_Pieces_Total,Number_of_Whole_Flakes_Total,Weight_of_Whole_Flakes_Average,Weight_of_Whole_Flakes_Total,Utility_of_Whole_Flakes_Average,Utility_of_Whole_Flakes_Total,Quantity,Quality,Economy
47,Adult,634,4,2,15,10.6,6.2,672,140,79.16666667,12,40.00375918,446.2357823,3,35,105,45.63864715,136.9159415,-0.37301,0.02461,-0.55789
47,Adult,691,4,3,16.1,12.5,6.3,1101,112,89.82742961,27,44.34829459,1198.180797,2,112.5,225,36.30490256,72.60980511,0.70648,0.74702,-2.64029
47,Adult,690,5,1,15.4,14.5,4.4,1147,167,85.44027899,13,54.74258411,616.7187737,0,0,0,0,0,-0.96194,-0.43021,-1.77287
47,Adult,659,5,2,17.6,10.4,7.6,939,119,87.32694356,14,52.53358982,724.8835031,3,46.33333333,139,53.63479477,160.9043843,0.17221,0.96249,-0.35240
47,Adult,636,5,3,13.2,8.1,5.8,557,47,91.56193896,18,41.29084804,739.0465522,3,55.33333333,166,52.64986426,157.9495928,0.25169,0.37551,-1.12403
48,Adult,664,1,1,14.8,12.3,5.3,744,220.9,70.30913978,17,37.28608551,650.2712313,6,29.33333333,176,38.99778906,233.9867344,0.10987,-0.85613,-0.35218
48,Adult,643,1,2,13.8,6,6.4,431,158,63.34106729,11,38.04573035,437.9446015,5,26.2,131,48.02835692,240.1417846,-0.25300,-0.42899,0.34227
48,Adult,674,1,3,15.5,12.2,6.5,1240,1019.9,17.75,2,21.62100934,43.24201868,1,193,193,-8.297926451,-8.297926451,-1.65694,0.07732,-1.90568
48,Adult,661,2,1,13.2,11.5,8.4,778,385,50.51413882,10,40.99822667,418.4232021,6,26.66666667,160,43.10846051,258.6507631,-0.26521,-0.49031,0.84456
48,Adult,684,2,2,16.7,14.2,5.1,1106,217,80.37974684,22,46.64701512,1046.25785,7,37.42857143,262,56.03249355,392.2274549,1.13071,-0.19933,0.15380
48,Adult,681,3,1,13.9,11,7.1,1213,259,78.64798021,30,40.43496331,1141.480799,8,61,488,46.95416958,375.6333566,1.63288,-0.63412,-0.62842
48,Adult,655,3,2,11.2,10,7.9,859,183,78.69615832,15,34.60368598,592.3759248,1,9,9,40.66710082,40.66710082,-0.69443,-0.59786,-1.37593
48,Adult,635,3,3,9.8,8.7,5.4,491,190.3,61.24236253,11,34.58433048,386.1413069,2,7,14,32.09556285,64.1911257,-1.01349,-0.86928,-0.70323
48,Adult,639,4,1,15.4,10.7,4.8,579,192.1,66.82210708,8,48.45513084,355.4844664,1,10,10,60.48335304,60.48335304,-0.78769,0.80572,0.35558
48,Adult,653,4,2,14.2,11.4,8.3,965,223,76.89119171,18,48.1796006,837.8723121,7,62.42857143,437,52.58935976,368.1255183,1.11020,0.32732,0.36897
48,Adult,688,4,2,13.6,11.7,8.2,1095,130.3,88.10045662,31,36.81039257,1081.725688,5,39.4,197,39.36085106,196.8042553,0.79757,-0.94558,-1.86071
48,Adult,640,5,1,11.3,7.8,5.7,412,123,70.14563107,13,42.77606531,571.5753154,4,31.25,125,51.01850448,204.0740179,-0.10476,0.03526,0.04729
48,Adult,680,5,2,17.3,10.4,7,1297,213.3,83.55435621,32,39.19448448,1252.748239,5,20.6,103,44.96939684,224.8469842,0.84175,-1.05790,-1.54071
48,Adult,668,5,3,15.4,11.2,7.7,902,190,78.93569845,19,37.10733492,699.1083546,4,82,328,41.51539944,166.0615978,0.38020,0.12276,-1.24216
49,Adult,637,1,1,10.1,9.2,5.9,503,113.5,77.43538767,8,46.72752102,404.4005909,2,43,86,55.33077874,110.6615575,-0.46875,0.91942,-0.07111
49,Adult,654,1,2,10.6,9.6,5.7,722,524,27.42382271,7,47.24935394,337.7182202,3,22.33333333,67,54.22209658,162.6662898,-0.78949,0.37256,1.51761
49,Adult,633,2,1,14.7,9.8,5.5,490,109.6,77.63265306,13,40.31809703,612.9017768,0,0,0,0,0,-1.14045,-1.25443,-2.13563
49,Adult,686,2,2,18.1,14.4,5.4,1165,120.1,89.69098712,26,51.36520164,1314.14079,5,50,250,53.31466264,266.5733132,1.23373,0.32656,-0.85641
49,Adult,663,2,3,18.8,9.1,7.3,922,64.1,93.04772234,20,45.01389346,886.5547426,5,64.2,321,51.33406541,256.6703271,0.86745,0.38377,-0.78683
49,Adult,667,3,1,13.6,12.9,8.3,913,133,85.43263965,21,39.02188212,842.8266122,6,52,312,45.51700607,273.1020364,0.75734,-0.37948,-0.77103
49,Adult,649,3,2,14.6,11.2,6,615,131.8,78.56910569,15,36.42769494,554.0135638,4,48.75,195,35.18885165,140.7554066,-0.14278,-0.39542,-1.05204
49,Adult,685,3,3,13.4,12.3,9.2,1046,196.5,81.21414914,14,42.75615884,513.0739061,6,94.33333333,566,46.76972143,280.6183286,0.81033,0.68541,-0.15177
49,Adult,657,4,1,16,7.6,7.3,868,251,71.08294931,26,43.90949447,1100.149358,5,58.4,292,49.87358002,249.3679001,0.94777,-0.04428,-0.72198
49,Adult,647,4,2,13.2,7.5,6.4,642,230.4,64.11214953,17,42.04438294,692.8044422,3,32.66666667,98,49.32109268,147.963278,-0.13188,-0.03374,-0.36802
